t (s),FA (mol/s),FB (mol/s),FC (mol/s),FP (mol/s),XA,θA,θB,θC,θP,θV
0.018896523396912116,999998.2724209791,1.9999975047250625e6,0.9598831240406399,0.0,1.7275790208381991e-6,0.33126297809189154,0.6656314889621552,0.0031055327787063787,0.0,1.6724690339239845e-10
0.02221946860939524,999998.0545259945,1.999997282531279e6,1.1734792935198033,0.0,1.9454740055602215e-6,0.3309691654929875,0.6654845826630204,0.003546251676747661,0.0,1.6724449299412858e-10
0.026126752255633268,999997.790700831,1.9999970181028731e6,1.4367012144558993,0.0,2.209299169053658e-6,0.3306464238025057,0.6653232118178778,0.004030364212374216,0.0,1.6724224175673763e-10
0.03072112998861759,999997.4716466868,1.9999967036561407e6,1.7603627531841517,0.0,2.5283533132691716e-6,0.33029611820682386,0.6651480590199755,0.004555822605960465,0.0,1.6724019218095076e-10
0.0361234269970943,999997.0866026182,1.9999963300860955e6,2.156880844009072,0.0,2.9133973817874192e-6,0.32992120055893487,0.6649606001961087,0.00511819907771873,0.0,1.6723764820897324e-10
0.04247571552536903,999996.623584484,1.9999958872615432e6,2.6400925419516685,0.0,3.3764155160653786e-6,0.32952651446440895,0.6647632571487012,0.005710228219654232,0.0,1.6723560557208028e-10
0.049945051158551405,999996.0693802534,1.9999953636019707e6,3.2248414494704565,0.0,3.930619746572717e-6,0.32911900420704415,0.6645595020202213,0.006321493605501874,0.0,1.6723262444978682e-10
0.05872786613189477,999995.4101877592,1.9999947466852567e6,3.9263097508457405,0.0,4.589812240829438e-6,0.3287077401768043,0.6643538700051288,0.0069383896508372015,0.0,1.6722962424553511e-10
0.06905513520162332,999994.6320836095,1.9999940232490902e6,4.759081874961555,0.0,5.367916390497385e-6,0.3283036609744319,0.6641518304037716,0.007544508454569027,0.0,1.6722753737319351e-10
0.0811984499318401,999993.721604175,1.9999931793162443e6,5.7361079012859175,0.0,6.278395824899086e-6,0.327918942046317,0.6639594709396984,0.008121586846759902,0.0,1.6722467507945815e-10
0.09547716114208066,999992.6664490011,1.999992200650971e6,6.867752986401804,0.0,7.33355099891142e-6,0.3275659471695856,0.6637829735013846,0.008651079161807487,0.0,1.6722237830557596e-10
0.11226677735108136,999991.4557503903,1.999991072850038e6,8.161349257353038,0.0,8.544249609721e-6,0.32725581419539346,0.6636279070142956,0.009116278623090309,0.0,1.6722065225571736e-10
0.13200884008314168,999990.0798063608,1.999989781244662e6,9.621631939700208,0.0,9.920193639212371e-6,0.32699686569805264,0.663498432765581,0.009504701369147401,0.0,1.6721899906424476e-10
0.15522253574270478,999988.5290587106,1.9999883104698588e6,11.252352430935085,0.0,1.1470941289393188e-5,0.32679318585487,0.6633965928439257,0.009810221133986833,0.0,1.6721740311864686e-10
0.18251834943190423,999986.7926204136,1.999986644150211e6,13.058909388830692,0.0,1.3207379586432921e-5,0.3266437980182292,0.663321898925527,0.010034302889027139,0.0,1.6721672657649123e-10
0.2146141197858406,999984.8564419922,1.9999847641330678e6,15.051249084946983,0.0,1.5143558007801872e-5,0.3265428246624334,0.6632714122476352,0.010185762922715235,0.0,1.672162304455771e-10
0.2523539170434766,999982.702538029,1.999982650785965e6,17.24570990586913,0.0,1.7297461970988692e-5,0.3264807552990686,0.6632403775659599,0.01027886696775554,0.0,1.672159632981618e-10
0.29673024081888666,999980.3097764124,1.9999802839866362e6,19.66443381561133,0.0,1.9690223587609523e-5,0.3264465351107127,0.6632232674717686,0.010330197250302604,0.0,1.6721612289272159e-10
0.3489101213406774,999977.6569324082,1.9999776455964365e6,22.331731619555843,0.0,2.2343067591745758e-5,0.3264298049041027,0.6632149023684525,0.010355292560228997,0.0,1.6721573431466297e-10
0.41026581058271905,999974.7273580967,1.999974722852529e6,25.26813633500393,0.0,2.5272641903217874e-5,0.32642252510323194,0.6632112624680117,0.01036621226154032,0.0,1.6721602921765388e-10
